Date	Target_Return	RSI	W %R	%K	%D	Slow %K	Slow %D	%K	%D	Slow %K	Slow %D	MACD	MACD Difference	MACD Signal	PROC 1-Day	PROC 7-Day	PROC 14-Day	OBV
2017-04-10	0																	
2017-04-11	0	0.0													-0.1457995343562224			
2017-04-12	0	0.0													-0.3948269941177932			
2017-04-13	0	0.0													-0.38170641772517416			
2017-04-17	0	0.0		19.873846117311718				19.873846117311718							-0.07639689225484037			
2017-04-18	0	0.0		24.754812701136288				24.754812701136288							-0.008021892612357029			
2017-04-19	1	0.0		26.836636455307193	23.821765091251734			26.836636455307193	23.821765091251734						-0.018395513868710224			
2017-04-20	1	4.207223659865138		36.978988181938504	29.523479112793996			36.978988181938504	29.523479112793996						0.09311472764762004	-0.929379623330681		
2017-04-21	1	7.1313453500327375		50.56165225511697	38.12575896412089	31.80118714216213		50.56165225511697	38.12575896412089	31.80118714216213					0.06498028891422747	-0.7202538403700237		
2017-04-24	1	19.09618246308683		64.85507480032318	50.798571745792884	40.79743287876442		64.85507480032318	50.798571745792884	40.79743287876442					0.2936374165845321	-0.03403875864500501		
2017-04-25	1	29.206380453445757		71.5312417246047	62.315989593348284	50.152718683458104	40.91711290146155	71.5312417246047	62.315989593348284	50.152718683458104	40.91711290146155				0.3029023866236142	0.6529593291559942		-0.2727417923424662
2017-04-26	1	35.84687633997091		72.04134185313765	69.47588612602185	59.193659763024186	50.04793710841557	72.04134185313765	69.47588612602185	59.193659763024186	50.04793710841557				0.23346298322301362	0.9650809147895726		0.10603857786463575
2017-04-27	1	44.36358391552869		72.87339814666034	72.1486605748009	66.37254175596856	58.57297340081694	72.87339814666034	72.1486605748009	66.37254175596856	58.57297340081694				0.35477112666228117	1.3314045663433605		0.859406060016125
2017-04-28	1	52.69358873039407	-18.425130089358976	77.54167041696631	74.15213680558811	71.76854538833842	65.77824896911038	77.54167041696631	74.15213680558811	71.76854538833842	65.77824896911038				0.4376413407114026	1.7935981393123774		1.6889618102786723
2017-05-01	1	57.641279842954226	-16.543307652735496	77.33713768741886	75.91740208368186	74.26495796575757	70.80201503668816	77.33713768741886	75.91740208368186	74.26495796575757	70.80201503668816				0.3172723708915294	2.0215640000842487	1.073396372864196	2.089586061415878
2017-05-02	1	62.695506541430376	-12.815450300860388	80.93987161328359	78.60622657255628	76.14668394349334	74.06006243252978	80.93987161328359	78.60622657255628	76.14668394349334	74.06006243252978				0.3823880487574511	2.345178075572717	1.6080330000498653	2.4881859297563227
2017-05-03	1	66.36101237589925	-11.125349984698884	81.6363169156205	79.97110873877433	78.06567895598991	76.15910695508028	81.6363169156205	79.97110873877433	78.06567895598991	76.15910695508028				0.3246853354324482	2.376861090220668	2.3420132775658358	2.839867962194532
2017-05-04	1	68.83512943575495	-12.108190482466775	78.41479689586829	80.33032847492414	79.1739587058315	77.79544053510493	78.41479689586829	80.33032847492414	79.1739587058315	77.79544053510493				0.2440471795404167	2.3167889366077308	2.9848759552621593	2.994942299386459
2017-05-05	1	71.54192097659795	-9.93140155520863	80.54060461891011	80.19723947679965	79.77374554622025	79.00446106934723	80.54060461891011	80.19723947679965	79.77374554622025	79.00446106934723				0.2938487719356951	2.378429827928828	3.3664645150594037	3.23051218742206
2017-05-08	1	73.30946424447494	-11.029610424877689	76.84676027604284	78.60072059694043	79.67567006394505	79.54112477199894	76.84676027604284	78.60072059694043	79.67567006394505	79.54112477199894				0.2085017182137857	2.2292108899481256	3.590295271873679	3.142883480610468
2017-05-09	0	73.47450437594662	-12.88006217542681	69.39292156670884	75.59342882055394	77.3662800546301	78.93856522159847	69.39292156670884	75.59342882055394	77.3662800546301	78.93856522159847				0.019453754321198585	1.8035638278509607	3.6295106544209843	2.8514092704065037
2017-05-10	0	72.29768696228403	-14.142345672481039	61.074168431738904	69.10461675816354	73.25385035785378	76.76526682547632	61.074168431738904	69.10461675816354	73.25385035785378	76.76526682547632				-0.047786820842379715	1.4330959527952745	3.483630904747897	2.5628136473061307
2017-05-11	0	70.1554165604622	-17.22030899150413	48.05366074585477	59.50691691476751	67.18162312785107	72.60058451344499	48.05366074585477	59.50691691476751	67.18162312785107	72.60058451344499				-0.08507327649157484	0.9607416844830433	3.328450863403145	2.1132916261005614
2017-05-12	1	66.55831248560693	-22.650790283742538	38.91094312595789	49.34625743451719	58.85569082926063	66.43038810498851	38.91094312595789	49.34625743451719	58.85569082926063	66.43038810498851				-0.1449440454333843	0.48813486343485	2.876598241292303	1.5209866830692733
2017-05-15	1	68.74485823395297	-19.06073071333193	52.36349748177039	46.442700451194355	53.95903827040613	59.998784075839296	52.36349748177039	46.442700451194355	53.95903827040613	59.998784075839296				0.18484699518828282	0.42879053051438515	2.755513638694295	1.3869723255659616
2017-05-16	0	70.81423785573408	-15.964087204751154	64.47169899107028	51.9153798662662	52.97479375527843	55.263174284981744	64.47169899107028	51.9153798662662	52.97479375527843	55.263174284981744	0.4106495358565354			0.18674366499288375	0.32154131751062803	2.707618780044244	1.1893700159580651
2017-05-17	0	70.07840317500893	-21.383276086954915	58.39269424611444	58.40929690631839	52.43849891815354	53.124110314612714	58.39269424611444	58.40929690631839	52.43849891815354	53.124110314612714	0.3967247857780123	-0.011139800062818506	0.4078645858408308	-0.02758987633934043	0.08518340125038085	2.3162932088556083	0.8340585925307946
2017-05-18	0	50.23121572088084	-61.45512521420784	34.64377265849993	52.50272196522823	49.75652130068257	51.72327132470486	34.64377265849993	52.50272196522823	49.75652130068257	51.72327132470486	0.3548225446312401	-0.04243363296767255	0.39725617759891263	-0.9794267996771719	-0.9143535857085217	0.8727192916119421	-0.39661644881013636
2017-05-19	0	39.149959925387655	-75.6154854509824	24.384514549017602	39.14032715121068	46.85123558529451	49.68208526804356	24.384514549017602	39.14032715121068	46.85123558529451	49.68208526804356	0.29325752174455744	-0.08319892468348417	0.3764564464280416	-0.9226271022374904	-1.7816091674925862	-0.3740453835712777	-1.6047175892057506
2017-05-22	0	33.56773855919439	-78.29456407150795	21.70543592849205	26.91124104533655	40.71962327463884	45.77579338687199	21.70543592849205	26.91124104533655	40.71962327463884	45.77579338687199	0.22430828577770257	-0.12171852852027121	0.3460268142979738	-0.6551763042536386	-2.342031957477534	-1.4037911502738916	-2.4527678192316156
2017-05-23	0	30.06190641854668	-81.04287508056116	18.957124919438844	21.682358465649518	31.616708460312555	39.729189106748656	18.957124919438844	21.682358465649518	31.616708460312555	39.729189106748656	0.15447029715502225	-0.15324521371436123	0.3077155108693835	-0.5034410007199733	-2.692640986414924	-2.217649842381901	-2.9627379716521243
2017-05-24	0	26.81967974752978	-83.16273615338928	21.07754197871468	20.580034275548545	24.153678006832603	32.16333658059468	21.07754197871468	20.580034275548545	24.153678006832603	32.16333658059468	0.0836665174833442	-0.17923919470883143	0.2629057121921756	-0.5466357731046328	-3.4031142613798333	-2.9889159625608297	-3.447038768538661
2017-05-25	0	24.283761295590068	-85.93907248052129	20.936638230517303	20.323768376223626	21.41225112123608	25.72754586279376	20.936638230517303	20.323768376223626	21.41225112123608	25.72754586279376	0.014292492530096013	-0.19889057572966368	0.2131830682597597	-0.49671562369268674	-4.06208406517861	-3.7536040262895463	-3.8448300585280206
2017-05-26	0	22.423182848599385	-87.5776978894527	21.07660229171722	21.030260833649752	20.750668669776	22.105532599281577	21.07660229171722	21.030260833649752	20.750668669776	22.105532599281577	-0.0508278019705628	-0.211208696184258	0.1603808942136952	-0.40886149509304726	-4.427969057478793	-4.346557550877888	-4.098968689566304
2017-05-30	0	21.220387296760787	-87.86934526801112	23.425351681418245	21.812864067884277	21.094651820361243	21.08585720379112	23.425351681418245	21.812864067884277	21.094651820361243	21.08585720379112	-0.10859083783566348	-0.21517738563948693	0.10658654780382346	-0.2834645596115125	-3.756244762287936	-4.63625298932449	-4.547255655379109
2017-05-31	0	19.97805595695873	-89.45740105652692	22.77755135412418	22.426501775753238	21.858737107298307	21.234685865811866	22.77755135412418	22.426501775753238	21.858737107298307	21.234685865811866	-0.16053176839355388	-0.21369465295790185	0.05316288456434798	-0.3075799523004983	-3.158787990606366	-4.884119901676654	-5.018221614935499
2017-06-01	0	19.386380075595724	-89.01870736259232	27.232746322190742	24.47854978591108	23.08977797599352	22.01438896788437	27.232746322190742	24.47854978591108	23.08977797599352	22.01438896788437	-0.20325160610735793	-0.20513159253736474	0.0018799864300067942	-0.15011900302187658	-2.666458754256114	-4.946041395576012	-5.134634076552464
2017-06-02	0	19.121846555873816	-88.81223422559532	32.86247958661747	27.624259087644152	25.474946247213552	23.474487110168468	32.86247958661747	27.624259087644152	25.474946247213552	23.474487110168468	-0.2360858848231402	-0.19037269700251758	-0.04571318782062261	-0.06554584051327325	-2.238083270058727	-4.870460709033954	-4.259102368347084
2017-06-05	0	18.517506890759467	-89.34488468497747	34.987514078479556	31.69424666242928	28.25712860456602	25.60728427592437	34.987514078479556	31.69424666242928	28.25712860456602	25.60728427592437	-0.2628718536878907	-0.17372693269381445	-0.08914492099407623	-0.14641354837733364	-1.8446678023024232	-5.185005910627021	-3.5090281563762797
2017-06-06	0	17.66572693561938	-90.56986011455876	33.463206526285724	33.771066730460944	30.264699573539513	27.9989248084397	33.463206526285724	33.771066730460944	30.264699573539513	27.9989248084397	-0.2862041681688581	-0.15764739773982547	-0.1285567704290326	-0.2087848617593425	-1.5606375839568565	-5.559327238522367	-3.0754600799874545
2017-06-07	0	17.018486487919983	-89.48018205623455	34.384466676000734	34.278395760255364	32.58608263791483	30.369303605340125	34.384466676000734	34.278395760255364	32.58608263791483	30.369303605340125	-0.3053450760058283	-0.14143064446143655	-0.16391443154439173	-0.16145194701276755	-1.316089338658264	-5.685782367452492	-2.7423115568461545
2017-06-08	0	16.45696934723894	-88.9971127935647	32.32436670374515	33.390679968677226	33.6044067142257	32.151729641893354	32.32436670374515	33.390679968677226	33.6044067142257	32.151729641893354	-0.3204447733873863	-0.12522427347439566	-0.19522049991299065	-0.14055970211373167	-1.1746643470247216	-4.886785841303078	-2.34520060636538
2017-06-09	0	15.593864003894597	-87.54792787375798	31.72023982898196	32.80969106957597	33.3759587626986	33.18881603827972	31.72023982898196	32.80969106957597	33.3759587626986	33.18881603827972	-0.33423304417443944	-0.11121003540915902	-0.22302300876528042	-0.220382170647024	-1.0882249764489411	-4.212638247188459	-2.074000634504451
2017-06-12	0	14.692539990779668	-87.44299813407466	29.83735554531742	31.293987359348204	32.345927056066174	33.1087641776635	29.83735554531742	31.293987359348204	32.345927056066174	33.1087641776635	-0.3473511833096694	-0.09946253963551119	-0.24788864367415822	-0.24112459541724882	-1.1783755564097573	-3.813413412483969	-1.9090682541962058
2017-06-13	0	14.596699013363985	-84.33228887883098	35.92424330828701	32.493946227528824	32.83813441246643	32.85334007707708	35.92424330828701	32.493946227528824	32.83813441246643	32.85334007707708	-0.35431983390110844	-0.08514495218156015	-0.2691748817195483	-0.0256269030460868	-1.1389011401061087	-3.3514948542856127	-1.6554339310625397
2017-06-14	0	14.349063553283967	-82.13957807088848	38.044248013979995	34.6019489558615	33.570090680062286	32.9180507161983	38.044248013979995	34.6019489558615	33.570090680062286	32.9180507161983	-0.3573451385398556	-0.07053620545624584	-0.2868089330836098	-0.06329641814751602	-1.0566101466565976	-2.881787001787786	-1.41445314082225
2017-06-15	0	14.093112716019494	-78.82042418114256	40.815921431990176	38.261470918085756	35.26840162571129	33.89220890608001	40.815921431990176	38.261470918085756	35.26840162571129	33.89220890608001	-0.35724507874733646	-0.05634891653098134	-0.3008961622163551	-0.06328231230526658	-0.9123437855811609	-2.458742989525343	-1.3287160066738644
2017-06-16	1	13.947681835931167	-75.20470722862285	46.435729308728625	41.76529958489962	38.21149952166063	35.68333060914474	46.435729308728625	41.76529958489962	38.21149952166063	35.68333060914474	-0.35396953249499674	-0.04245869622291332	-0.3115108362720834	-0.034547421585720425	-0.7863937168672662	-2.0921334116579615	-1.2981094073476367
2017-06-19	1	17.071014896739968	-69.45124631793507	55.53480472854739	47.595485156422086	43.35098935830662	38.943630168559515	55.53480472854739	47.595485156422086	43.35098935830662	38.943630168559515	-0.3443921053203418	-0.026305015238606733	-0.3180870900817351	0.11772392158934217	-0.5297805246140748	-1.6982217286986743	-1.037018458203795
2017-06-20	1	18.283764516216728	-65.23570774346356	58.335640105004416	53.435391380760166	47.8332687176501	43.13191919920579	58.335640105004416	53.435391380760166	47.8332687176501	43.13191919920579	-0.3318275056677997	-0.010992332468851729	-0.320835173198948	0.04487429115007046	-0.2653465746129215	-1.350683983362773	-0.785464591137371
2017-06-21	1	19.268424840170475	-62.4562950434295	64.62658407182835	59.49900963512673	53.149735929219766	48.11133133505884	64.62658407182835	59.49900963512673	53.149735929219766	48.11133133505884	-0.3173174768451865	0.0028141570830091944	-0.3201316339281957	0.03491545864052881	0.010626455469100158	-1.1678743204944178	-0.5903245244870073
2017-06-22	1	20.28435186557393	-59.61946877656054	66.75611318677268	63.2394457878685	58.33777428017627	53.106926309015385	66.75611318677268	63.2394457878685	58.33777428017627	53.106926309015385	-0.3014599842490817	0.01493731974329121	-0.3163973039923729	0.03445432633614907	0.07072947189816967	-1.0689772069697783	-0.4160987555465308
2017-06-23	1	24.09386511025454	-50.875810095197885	67.67772126305155	66.35347284055086	62.586172671040856	58.024560960145635	67.67772126305155	66.35347284055086	62.586172671040856	58.024560960145635	-0.2823507132696754	0.027237272578158	-0.3095879858478334	0.12820484991962594	0.2624875638045786	-0.7968960530848899	-0.0681954844538694
